,Instrument,Company Common Name,ESG Coverage Flag,Region of Headquarters
3272,SEIFT.MI,Societa Editoriale Il Fatto SpA,True,Europe
3273,MAPS.MI,Maps SpA,True,Europe
3274,COME.MI,Comer Industries SpA,True,Europe
3275,ILTY.MI,illimity Bank SpA,True,Europe
3276,SRAIL.S,Stadler Rail AG,True,Europe
3277,MNTN.L,Schiehallion Fund Ltd,True,Europe
3278,VPLAYb.ST,Viaplay Group AB (publ),True,Europe
3279,MOVE.S,Medacta Group SA,True,Europe
3280,LGRS.L,Loungers PLC,True,Europe
3281,JMIA.N,Jumia Technologies AG,True,Europe
3282,ALCC.S,Alcon AG,True,Europe
3283,KARNO.ST,Karnov Group AB (publ),True,Europe
3284,ANV.MI,Antares Vision SpA,True,Europe
3285,NEXII.MI,Nexi SpA,True,Europe
3286,VRLA.PA,Verallia SA,True,Europe
3287,JOMA.ST,John Mattson Fastighetsforetagen publ AB,True,Europe
3288,MBHB.BU,MBH Bank Nyrt,True,Europe
3289,CEH.AX,Coast Entertainment Holdings Ltd,True,Oceania
3290,GBUSS.MI,Gibus SpA,True,Europe
3291,AMCR.N,Amcor PLC,True,Europe
3292,AFPD.S,Aluflexpack AG,True,Europe
3293,MGH.AX,MAAS Group Holdings Ltd,True,Oceania
3294,MNTC.ST,Mentice AB,True,Europe
3295,GFG.DE,Global Fashion Group SA,True,Europe
3296,SSUJ.J,Southern Sun Ltd,True,Africa
3297,PBH.AX,Pointsbet Holdings Ltd,True,Oceania
3298,RLT.MI,Relatech SpA,True,Europe
3299,ALGTR.PA,Groupe Tera SA,True,Europe
3300,PTRN.MI,Pattern SpA,True,Europe
3301,SHE.MI,Shedir Pharma Srl Unipersonale,True,Europe
3302,RADIC.MI,Radici Pietro Industries & Brands SpA,True,Europe
3303,TALEA.MI,Talea Group SpA,True,Europe
3304,TITC.BR,Titan Cement International SA,True,Europe
3305,FWRY.CA,Fawry for Banking Technology and Electronic Payments SAE,True,Africa
3306,FCL.AX,FINEOS Corporation Holdings PLC,True,Europe
3307,CYB.MI,Cyberoo SpA,True,Europe
3308,CST.AX,Castile Resources Ltd,True,Oceania
3309,BRCK.L,Brickability Group PLC,True,Europe
3310,PRX.AS,Prosus NV,True,Europe
3311,EQTAB.ST,EQT AB,True,Europe
3312,ADCT.N,ADC Therapeutics SA,True,Europe
3313,TMV.DE,TeamViewer SE,True,Europe
3314,WEBO.MI,Websolute SpA,True,Europe
3315,BNTX.OQ,Biontech SE,True,Europe
3316,SNL.MI,Sanlorenzo SpA,True,Europe
3317,AKELd.ST,Akelius Residential Property AB (publ),True,Europe
3318,FLMNG.TE,Fleming Properties AB,True,Europe
3319,HMC.AX,HMC Capital Ltd,True,Oceania
3320,SATSS.OL,Sats ASA,True,Europe
3321,HTWS.L,Helios Towers PLC,True,Europe
3322,SWON.S,SoftwareOne Holding Ltd,True,Europe
3323,NSKOG.OL,Norske Skog ASA,True,Europe
3324,MNG.L,M&G PLC,True,Europe
3325,NWLF.MI,Newlat Food SpA,True,Europe
3326,MFTC.MI,Matica Fintec SpA,True,Europe
3327,CNTGF.PK,Centogene NV,True,Europe
3328,TYR.AX,Tyro Payments Ltd,True,Oceania
3329,PEBB.L,Pebble Group PLC,True,Europe
3330,ITH.L,Ithaca Energy PLC,True,Europe
3331,KFASTb.ST,K-Fast Holding AB,True,Europe
3332,RMDA.CA,Tenth of Ramadan for Pharmaceutical Industries and Diagnostic Reagents (Rameda) (SAE),True,Africa
3333,ORIT.L,Octopus Renewables Infrastructure Trust PLC,True,Europe
3334,ARVLF.PK,Arrival SA,True,Europe
3335,ADT1.L,Adriatic Metals PLC,True,Europe
3336,DOXE.MI,Doxee SpA,True,Europe
3337,MUSTI.HE,Musti Group Oyj,True,Europe
3338,SPECI.L,Inspecs Group PLC,True,Europe
3339,ENPG.MM,En+ Group MKPAO,True,Europe
3340,SSWJ.J,Sibanye Stillwater Ltd,True,Africa
3341,UD.MI,Unidata SpA,True,Europe
3342,NLSP.OQ,NLS Pharmaceutics AG,True,Europe
3343,FRP.L,FRP Advisory Group PLC,True,Europe
3344,N91.L,Ninety One PLC,True,Europe
3345,EPROb.ST,Electrolux Professional AB (publ),True,Europe
3346,NY1J.J,Ninety One Ltd,True,Africa
3347,GVS.MI,GVS SpA,True,Europe
3348,MBLPC.AX,Macquarie Bank Ltd,True,Oceania
3349,JDEP.AS,JDE Peets NV,True,Europe
3350,CZG.PR,Colt CZ Group SE,True,Europe
3351,ASM.AX,Australian Strategic Materials Ltd,True,Oceania
3352,MAGNA.ST,Magnasense AB,True,Europe
3353,CY4.MI,CY4GATE SpA,True,Europe
3354,INAI.S,Ina Invest AG,True,Europe
3355,TUA.AX,Tuas Ltd,True,Oceania
3356,VZUG.S,V-ZUG Holding AG,True,Europe
3357,VNV.ST,VNV Global AB (publ),True,Europe
3358,GPGR.ST,Genova Property Group AB,True,Europe
3359,TPG.AX,TPG Telecom Ltd,True,Oceania
3360,AKBM.OL,Aker Biomarine ASA,True,Europe
3361,NXL.AX,Nuix Ltd,True,Oceania
3362,ICF.MI,Industrie Chimiche Forestali SpA,True,Europe
3363,CVAC.OQ,CureVac NV,True,Europe
3364,ABB.AX,Aussie Broadband Ltd,True,Oceania
3365,KTAG.DE,Knaus Tabbert AG,True,Europe
3366,ACCA.OL,Aker Carbon Capture ASA,True,Europe
3367,RETI.MI,Reti SpA,True,Europe
3368,BEWI.OL,Bewi ASA,True,Europe
3369,READ.ST,Readly International AB (publ),True,Europe
3370,VIAOY.PK,Via Optronics AG,True,Europe
3371,HOMEH.L,Home REIT PLC,True,Europe
3372,ENR1n.DE,Siemens Energy AG,True,Europe
3373,VAREV.L,Various Eateries PLC,True,Europe
3374,HAGG.DE,Hensoldt AG,True,Europe
3375,WBGRb.ST,Wastbygg Gruppen AB (publ),True,Europe
3376,AMBP.N,Ardagh Metal Packaging SA,True,Europe
3377,TSETNQJ.J,FirstRand Bank Ltd,True,Africa
3378,GDEV.OQ,GDEV Inc,True,Europe
3379,FLOT.MM,Sovkomflot PAO,True,Europe
3380,NPAPER.ST,Nordic Paper Holding AB,True,Europe
3381,PSFE.N,Paysafe Ltd,True,Europe
3382,DRR.AX,Deterra Royalties Ltd,True,Oceania
3383,ALEP.WA,Allegro.eu SA,True,Europe
3384,LINK.OL,Link Mobility Group Holding ASA,True,Europe
3385,ESI.MI,Esi SpA,True,Europe
3386,HYPRO.OL,Hydrogenpro ASA,True,Europe
3387,HDN.AX,HomeCo Daily Needs REIT,True,Oceania
3388,ARD.CS,Aradei Capital SA,True,Africa
3389,OSA.MI,Osai Automation System SpA,True,Europe
3390,TCMA.MI,Tecma Solutions SpA,True,Europe
3391,FNOVAb.ST,Fortinova Fastigheter AB (publ),True,Europe
3392,EFUEL.OL,Everfuel A/S,True,Europe
3393,HUSCO.CO,HusCompagniet A/S,True,Europe
3394,BYIT.L,Bytes Technology Group PLC,True,Europe
3395,SAVE.ST,Nordnet AB (publ),True,Europe
3396,OZONDR.MM,Ozon Holdings PLC,True,Europe
3397,SGHC.N,SGHC Ltd,True,Europe
3398,CADLR.OL,Cadeler A/S,True,Europe
3399,FG.ST,Fasadgruppen Group AB (publ),True,Europe
3400,NWHD.ST,Nordic Waterproofing Holding AB,True,Europe
3401,88CF.L,Heathrow Funding Ltd,True,Europe
3402,80CX.L,Heathrow Finance PLC,True,Europe
3403,CMLA.MI,Comal SpA,True,Europe
3404,THUNDR.ST,Thunderful Group AB,True,Europe
3405,ROIV.OQ,Roivant Sciences Ltd,True,Europe
3406,DBI.AX,Dalrymple Bay Infrastructure Ltd,True,Oceania
3407,CVG.MI,Convergenze SpA SB,True,Europe
3408,PLTA.MI,Planetel SpA,True,Europe
3409,NA9n.DE,Nagarro SE,True,Europe
3410,CTT.AX,Cettire Ltd,True,Oceania
3411,FSGF.L,Foresight Group Holdings Ltd,True,Europe
3412,MOONM.L,Moonpig Group PLC,True,Europe
3413,INPST.AS,InPost SA,True,Europe
3414,AG1G.DE,AUTO1 Group SE,True,Europe
3415,RNW.OQ,Renew Energy Global PLC,True,Europe
3416,DOCS.L,Dr Martens PLC,True,Europe
3417,BOAT.ST,Nimbus Group AB (publ),True,Europe
3418,CINT.ST,Cint Group AB (publ),True,Europe
3419,AFRI.OQ,Forafric Global PLC,True,Europe
3420,DTGGe.DE,Daimler Truck Holding AG,True,Europe
3421,TE.PA,Technip Energies NV,True,Europe
3422,ATG.L,Auction Technology Group PLC,True,Europe
3423,ACL.AX,Australian Clinical Labs Ltd,True,Oceania
3424,AIW.MI,Almawave SpA,True,Europe
3425,VTWRn.H,Vantage Towers AG,True,Europe
3426,CTPNV.AS,Ctp NV,True,Europe
3427,MCRO.CA,Macro Group Pharmaceutical SAE,True,Africa
3428,ROO.L,Deliveroo PLC,True,Europe
3429,WEJOF.PK,Wejo Group Ltd,True,Europe
3430,VH2.DE,Friedrich Vorwerk Group SE,True,Europe
3431,TALM.CA,Taaleem Management Services SAE,True,Africa
3432,SITOWS.HE,Sitowise Group Oyj,True,Europe
3433,IDUNb.ST,Idun Industrier AB (publ),True,Europe
3434,EMBELL.ST,Embellence Group AB (publ),True,Europe
3435,CHEF.ST,Cheffelo AB (publ),True,Europe
3436,PIERCE.ST,Pierce Group AB (publ),True,Europe
3437,TRST.L,Trustpilot Group PLC,True,Europe
3438,DGI9.L,Digital 9 Infrastructure PLC,True,Europe
3439,ONT.L,Oxford Nanopore Technologies PLC,True,Europe
3440,HEM.ST,Hemnet Group AB (publ),True,Europe
3441,KTEn.H,Katek Se,True,Europe
3442,ALLFG.AS,Allfunds Group PLC,True,Europe
3443,OTLY.OQ,Oatly Group AB (publ),True,Europe
3444,PBEE.L,Pensionbee Group PLC,True,Europe
3445,MMAG.L,musicMagpie PLC,True,Europe
3446,LDA.MC,Linea Directa Aseguradora SA Compania de Seguros y Reaseguros,True,Europe
3447,WIX.L,Wickes Group PLC,True,Europe
3448,PPGN.S,PolyPeptide Group AG,True,Europe
3449,HGEA.DE,hGears AG,True,Europe
3450,IOT.MI,Seco SpA,True,Europe
3451,TRIFOR.CO,Trifork Group AG,True,Europe
3452,CHECK.ST,Checkin.com Group AB,True,Europe
3453,JNO.AX,Juno Minerals Ltd,True,Oceania
3454,MILDEF.ST,MilDef Group AB,True,Europe
3455,LIC.ST,Linc AB,True,Europe
3456,PCOP.WA,Pepco Group NV,True,Europe
3457,ELO.OL,Elopak ASA,True,Europe
3458,TGAJ.J,Thungela Resources Ltd,True,Africa
3459,ISB.IC,Islandsbanki hf,True,Europe
3460,ACAST.ST,Acast AB (publ),True,Europe
3461,YOUG.DE,ABOUT YOU Holding SE,True,Europe
3462,ANE.MC,Corporacion Acciona Energias Renovables SA,True,Europe
3463,ARAMI.PA,Aramis Group SAS,True,Europe
3464,EDV.AX,Endeavour Group Ltd,True,Oceania
3465,C3RY.DE,Cherry SE,True,Europe
3466,PRFO.ST,Profoto Holding AB (publ),True,Europe
3467,GTCO.LG,Guaranty Trust Holding Company PLC,True,Africa
3468,GAMB.OQ,Gambling.com Group Ltd,True,Europe
3469,BCG.L,Baltic Classifieds Group PLC,True,Europe
3470,LLYC.MC,Llorente & Cuenca SA,True,Europe
3471,29M.AX,29Metals Ltd,True,Oceania
3472,PXA.AX,PEXA Group Ltd,True,Oceania
3473,WISEa.L,Wise PLC,True,Europe
3474,LORD.L,Lords Group Trading PLC,True,Europe
3475,ROONE.BX,One United Properties SA,True,Europe
3476,BPTB.L,Bridgepoint Group PLC,True,Europe
3477,DOLE.N,Dole PLC,True,Europe
3478,BIGB.L,Big Technologies PLC,True,Europe
3479,MI6.AX,Minerals 260 Ltd,True,Oceania
3480,WPS.L,WAG Payment Solutions PLC,True,Europe
3481,ANTIN.PA,Antin Infrastructure Partners SAS,True,Europe
3482,HCW.AX,Healthco Healthcare and Wellness Reit,True,Oceania
3483,EXN.PA,Exclusive Networks SAS,True,Europe
3484,AZE.BR,Azelis Group NV,True,Europe
3485,UMG.AS,Universal Music Group NV,True,Europe
3486,MTAL.N,MAC Copper Ltd,True,Europe
3487,IHS.N,IHS Holding Ltd,True,Europe
3488,OVH.PA,Ovh Groupe SA,True,Europe
3489,PHLL.L,Petershill Partners PLC,True,Europe
3490,MEX.L,Tortilla Mexican Grill PLC,True,Europe
3491,STORb.ST,Storskogen Group AB (publ),True,Europe
3492,EFIH.CA,E-finance for Digital and Financial Investements,True,Africa
3493,FAL.AX,Falcon Metals Ltd,True,Oceania
3494,AUTO.OL,AutoStore Holdings Ltd,True,Europe
3495,HEIT.L,Harmony Energy Income Trust PLC,True,Europe
3496,VSL.AX,Vulcan Steel Ltd,True,Oceania
3497,SDR.AX,Siteminder Ltd,True,Oceania
3498,LABS.L,Life Science REIT PLC,True,Europe
3499,JDO.AX,Judo Capital Holdings Ltd,True,Oceania
3500,PODP.L,Pod Point Group Holdings PLC,True,Europe
3501,PROC.L,Procook Group PLC,True,Europe
3502,VNT.AX,Ventia Services Group Ltd,True,Oceania
3503,ARIS.MI,Ariston Holding NV,True,Europe
3504,TGC.CS,Casablanca Travaux Generaux De Construction De SA,True,Africa
3505,LENT.MM,MK Lenta PAO,True,Europe
3506,DYVOX.ST,Dynavox Group AB,True,Europe
3507,LZM.N,Lifezone Metals Ltd,True,Europe
3508,BNOX.OQ,Bionomics Ltd,True,Oceania
3509,ZGN.N,Ermenegildo Zegna NV,True,Europe
3510,IVG.MI,Iveco Group NV,True,Europe
3511,CPH2.L,Clean Power Hydrogen PLC,True,Europe
3512,VAR.OL,Var Energi ASA,True,Europe
3513,P911_p.DE,Dr Ing hc F Porsche AG,True,Europe
3514,AOJb.CO,Broedrene A & O Johansen A/S,True,Europe
3515,LLL.AX,Leo Lithium Ltd,True,Oceania
3516,EAPI.PA,Euroapi SA,True,Europe
3517,TLC.AX,Lottery Corporation Ltd,True,Oceania
3518,HLUNa.CO,H Lundbeck A/S,True,Europe
3519,HLN.L,Haleon PLC,True,Europe
3520,ACLN.S,Accelleron Industries AG,True,Europe
3521,AKT.CS,Akdital SA,True,Africa
3522,DSFIR.AS,DSM-Firmenich AG,True,Europe
3523,NCH2.DE,thyssenkrupp nucera AG & Co KgaA,True,Europe
3524,DWL.L,Dowlais Group PLC,True,Europe
3525,RDX.AX,Redox Ltd,True,Oceania
3526,ASK.AX,Abacus Storage King,True,Oceania
3527,ARM.OQ,Arm Holdings PLC,True,Europe
3528,ETS.VI,EuroTeleSites AG,True,Europe
3529,1SXP.DE,SCHOTT Pharma AG & Co KgaA,True,Europe
3530,BIRK.N,Birkenstock Holding PLC,True,Europe
3531,SDZ.S,Sandoz Group AG,True,Europe
3532,MURA.OQ,Mural Oncology PLC,True,Europe
3533,SYENS.BR,Syensqo NV,True,Europe
3534,CFG.CS,CFG Bank SA,True,Africa
3535,MCKPF.PK,Mallinckrodt PLC,True,Europe
3536,WBCJ.J,We Buy Cars Holdings Ltd,True,Africa
3537,GYG.AX,Guzman Y Gomez Ltd,True,Oceania
3538,SHA0.DE,Schaeffler AG,True,Europe
3539,1313.TW,UPC Technology Corp,True,Asia
3540,000686.SZ,Northeast Securities Co Ltd,True,Asia
3541,4921.T,Fancl Corp,True,Asia
3542,BSES.SI,Bukit Sembawang Estates Ltd,True,Asia
3543,CTDM.SI,City Developments Ltd,True,Asia
3544,MAGN.KL,Magna Prima Bhd,True,Asia
3545,AJIN.KL,Ajinomoto (Malaysia) Bhd,True,Asia
3546,PARW.KL,Parkwood Holdings Bhd,True,Asia
3547,ERW.BK,Erawan Group PCL,True,Asia
3548,0101.HK,Hang Lung Properties Ltd,True,Asia
3549,TECA.KL,Techna-X Bhd,True,Asia
3550,AMMB.KL,AMMB Holdings Bhd,True,Asia
3551,GENP.KL,Genting Plantations Bhd,True,Asia
3552,METB.KL,Meta Bright Group Bhd,True,Asia
3553,AYER.KL,AYER Holdings Bhd,True,Asia
3554,BAY.BK,Bank of Ayudhya PCL,True,Asia
3555,0023.HK,Bank of East Asia Ltd,True,Asia
3556,FCWH.KL,FCW Holdings Bhd,True,Asia
3557,BTKW.KL,Batu Kawan Bhd,True,Asia
3558,CIMB.KL,CIMB Group Holdings Bhd,True,Asia
3559,COMF.KL,Comfort Gloves Bhd,True,Asia
3560,0506.HK,China Foods Ltd,True,Asia
3561,0293.HK,Cathay Pacific Airways Ltd,True,Asia
3562,0002.HK,CLP Holdings Ltd,True,Asia
3563,CTPB.KL,Chin Teck Plantations Bhd,True,Asia
3564,0116.HK,Chow Sang Sang Holdings International Ltd,True,Asia
3565,CIHB.KL,CI Holdings Bhd,True,Asia
3566,0031.HK,China Aerospace International Holdings Ltd,True,Asia
3567,0119.HK,Poly Property Group Co Ltd,True,Asia
3568,0032.HK,Cross-Harbour Holdings Ltd,True,Asia
3569,0440.HK,Dah Sing Financial Holdings Ltd,True,Asia
3570,RHBC.KL,RHB Bank Bhd,True,Asia
3571,HAPS.KL,Hap Seng Consolidated Bhd,True,Asia
3572,0035.HK,Far East Consortium International Ltd,True,Asia
3573,0135.HK,Kunlun Energy Company Ltd,True,Asia
3574,YNHB.KL,Ynh Property Bhd,True,Asia
3575,BERJ.KL,Berjaya Assets Bhd,True,Asia
3576,IWCI.KL,Iskandar Waterfront City Bhd,True,Asia
3577,0041.HK,Great Eagle Holdings Ltd,True,Asia
3578,0270.HK,Guangdong Investment Ltd,True,Asia
3579,HEIN.KL,Heineken Malaysia Bhd,True,Asia
3580,0010.HK,Hang Lung Group Ltd,True,Asia
3581,0011.HK,Hang Seng Bank Ltd,True,Asia
3582,0012.HK,Henderson Land Development Co Ltd,True,Asia
3583,0003.HK,Hong Kong and China Gas Co Ltd,True,Asia
3584,1314.TW,China Petrochemical Development Corp,True,Asia
3585,HLIB.KL,Hong Leong Industries Bhd,True,Asia
3586,0014.HK,Hysan Development Co Ltd,True,Asia
3587,0165.HK,China Everbright Ltd,True,Asia
3588,IKEN.KL,Inch Kenneth Kajang Rubber PLC,True,Asia
3589,0175.HK,Geely Automobile Holdings Ltd,True,Asia
3590,0179.HK,Johnson Electric Holdings Ltd,True,Asia
3591,KSMS.KL,Keck Seng (Malaysia) Bhd,True,Asia
3592,0185.HK,Zensun Enterprises Ltd,True,Asia
3593,MRHB.KL,Marco Holdings Bhd,True,Asia
3594,GLOL.KL,Global Oriental Bhd,True,Asia
3595,KCE.BK,KCE Electronics PCL,True,Asia
3596,ECOF.KL,EcoFirst Consolidated Bhd,True,Asia
3597,LH.BK,Land and Houses PCL,True,Asia
3598,WCEH.KL,WCE Holdings Bhd,True,Asia
3599,FRAS.KL,Fraser & Neave Holdings Bhd,True,Asia
3600,MALY.KL,Malayan Cement Bhd,True,Asia
3601,MFMS.KL,Malayan Flour Mills Bhd,True,Asia
3602,MUIP.KL,MUI Properties Bhd,True,Asia
3603,SUNS.KL,Sunsuria Bhd,True,Asia
3604,MBSB.KL,MBSB Bhd,True,Asia
3605,MPIM.KL,Malaysian Pacific Industries Bhd,True,Asia
3606,ALLI.KL,Alliance Bank Malaysia Bhd,True,Asia
3607,MSTM.KL,Melewar Industrial Group Bhd,True,Asia
3608,PMMY.KL,Panasonic Manufacturing Malaysia Bhd,True,Asia
3609,0200.HK,Melco International Development Ltd,True,Asia
3610,FIMA.KL,Fima Corporation Bhd,True,Asia
3611,MUDA.KL,Muda Holdings Bhd,True,Asia
3612,0017.HK,New World Development Co Ltd,True,Asia
3613,PMCS.KL,Pan Malaysia Corporation Bhd,True,Asia
3614,EXSI.KL,Exsim Hospitality Bhd,True,Asia
3615,PEPT.KL,PPB Group Bhd,True,Asia
3616,RVWL.KL,Riverview Rubber Estates Bhd,True,Asia
3617,BATO.KL,British American Tobacco (Malaysia) Bhd,True,Asia
3618,WTKH.KL,W T K Holdings Bhd,True,Asia
3619,SMC.PS,San Miguel Corp,True,Asia
3620,SDGS.KL,Selangor Dredging Bhd,True,Asia
3621,0081.HK,China Overseas Grand Oceans Group Ltd,True,Asia
3622,HENY.KL,Hengyuan Refining Company Bhd,True,Asia
3623,0241.HK,Alibaba Health Information Technology Ltd,True,Asia
3624,0242.HK,Shun Tak Holdings Ltd,True,Asia
3625,MPRM.KL,Media Prima Bhd,True,Asia
3626,TURY.KL,Turiya Bhd,True,Asia
3627,SMIS.KL,South Malaysia Industries Bhd,True,Asia
3628,0086.HK,Sun Hung Kai & Co Ltd,True,Asia
3629,0016.HK,Sun Hung Kai Properties Ltd,True,Asia
3630,TALA.KL,Talam Transform Bhd,True,Asia
3631,TNCS.KL,Tan Chong Motor Holdings Bhd,True,Asia
3632,0511.HK,Television Broadcasts Ltd,True,Asia
3633,JTIA.KL,Jaya Tiasa Holdings Bhd,True,Asia
3634,DNEX.KL,Dagang NeXchange Bhd,True,Asia
3635,PEGA.KL,Pegasus Heights Bhd,True,Asia
3636,ZLAN.KL,Zelan Bhd,True,Asia
3637,MBK.BK,MBK PCL,True,Asia
3638,0267.HK,CITIC Ltd,True,Asia
3639,SRCS.KL,Sapura Resources Bhd,True,Asia
3640,UMRS.KL,United Malacca Bhd,True,Asia
3641,UPF.BK,Union Pioneer PCL,True,Asia
3642,0291.HK,China Resources Beer Holdings Co Ltd,True,Asia
3643,1907.TW,YFY Inc,True,Asia
3644,LUKC.PSX,Lucky Cement Ltd,True,Asia
3645,MYTE.KL,MyTech Group Bhd,True,Asia
3646,600795.SS,Gd Power Development Co Ltd,True,Asia
3647,M-CHAI.BK,Mahachai Hospital PCL,True,Asia
3648,6104.T,Shibaura Machine Co Ltd,True,Asia
3649,2536.TW,Hong Pu Real Estate Development Co Ltd,True,Asia
3650,600763.SS,Topchoice Medical Co Inc,True,Asia
3651,MITR.KL,Mitrajaya Holdings Bhd,True,Asia
3652,600183.SS,Shengyi Technology Co Ltd,True,Asia
3653,600739.SS,Liaoning Cheng Da Co Ltd,True,Asia
3654,YKBNK.IS,Yapi ve Kredi Bankasi AS,True,Asia
3655,8051.T,Yamazen Corp,True,Asia
3656,000620.SZ,Macrolink Culturaltainment Development Co Ltd,True,Asia
3657,000623.SZ,Jilin Aodong Pharmaceutical Group Co Ltd,True,Asia
3658,600663.SS,Shanghai Lujiazui Finance & Trade Zone Development Co Ltd,True,Asia
3659,600664.SS,Harbin Pharmaceutical Group Co Ltd,True,Asia
3660,AGES.KL,Ageson Bhd,True,Asia
3661,AKSA.IS,Aksa Akrilik Kimya Sanayii AS,True,Asia
3662,1215.TW,Charoen Pokphand Enterprise Taiwan Co Ltd,True,Asia
3663,6744.T,Nohmi Bosai Ltd,True,Asia
3664,600728.SS,PCI Technology Group Co Ltd,True,Asia
3665,0522.HK,ASMPT Ltd,True,Asia
3666,600703.SS,Sanan Optoelectronics Co Ltd,True,Asia
3667,BCBB.KL,BCB Bhd,True,Asia
3668,TSHR.KL,TSH Resources Bhd,True,Asia
3669,600741.SS,HUAYU Automotive Systems Co Ltd,True,Asia
3670,0341.HK,Cafe De Coral Holdings Ltd,True,Asia
3671,0127.HK,Chinese Estates Holdings Ltd,True,Asia
3672,0120.HK,Cosmopolitan International Holdings Ltd,True,Asia
3673,600737.SS,COFCO Sugar Holding Co Ltd,True,Asia
3674,PINT.KL,Pintaras Jaya Bhd,True,Asia
3675,0142.HK,First Pacific Co Ltd,True,Asia
3676,LPKR.JK,Lippo Karawaci Tbk PT,True,Asia
3677,0053.HK,Guoco Group Ltd,True,Asia
3678,0152.HK,Shenzhen International Holdings Ltd,True,Asia
3679,600711.SS,Chengtun Mining Group Co Ltd,True,Asia
3680,0173.HK,K Wah International Holdings Ltd,True,Asia
3681,OCBC.SI,Oversea-Chinese Banking Corporation Ltd,True,Asia
3682,ARVN.NS,Arvind Ltd,True,Asia
3683,CYD.N,China Yuchai International Ltd,True,Asia
3684,000050.SZ,Tianma Microelectronics Co Ltd,True,Asia
3685,ASPN.NS,Asian Paints Ltd,True,Asia
3686,ATOA.NS,Automotive Axles Ltd,True,Asia
3687,CELC.KL,CelcomDigi Bhd,True,Asia
3688,KLIC.OQ,Kulicke and Soffa Industries Inc,True,Asia
3689,AFCB.KL,Asia File Corporation Bhd,True,Asia
3690,EIDP.NS,E I D-Parry (India) Ltd,True,Asia
3691,ELGE.NS,Elgi Equipments Ltd,True,Asia
3692,600095.SS,Xiangcai Co Ltd,True,Asia
3693,HEGL.NS,HEG Ltd,True,Asia
3694,600096.SS,Yunnan Yuntianhua Co Ltd,True,Asia
3695,ICMN.NS,India Cements Ltd,True,Asia
3696,IHTL.NS,Indian Hotels Company Ltd,True,Asia
3697,000541.SZ,Foshan Electrical and Lighting Co Ltd,True,Asia
3698,KBNK.NS,Karnataka Bank Ltd,True,Asia
3699,SBRK.KL,Sungei Bagan Rubber Company (Malaya) Bhd,True,Asia
3700,LMVL.NS,LMW Ltd,True,Asia
3701,MRF.NS,MRF Ltd,True,Asia
3702,TRCE.NS,Ramco Cements Limited,True,Asia
3703,PIRA.NS,Piramal Enterprises Ltd,True,Asia
3704,REDY.NS,Dr Reddy's Laboratories Ltd,True,Asia
3705,1304.TW,USI Corp,True,Asia
3706,SNFS.NS,Sundram Fasteners Ltd,True,Asia
3707,TVSH.NS,TVS Holdings Ltd,True,Asia
3708,600155.SS,Polaris Bay Group Co Ltd,True,Asia
3709,036460.KS,KoreaGasCorp,True,Asia
3710,UPLL.NS,UPL Ltd,True,Asia
3711,CREC.KL,Crescendo Corp Bhd,True,Asia
3712,ERDY.NS,Eveready Industries India Ltd,True,Asia
3713,BDBS.KL,Bina Darulaman Bhd,True,Asia
3714,600884.SS,Ningbo Shanshan Co Ltd,True,Asia
3715,600751.SS,HNA Technology Co Ltd,True,Asia
3716,KIAL.KL,Kia Lim Bhd,True,Asia
3717,MGIC.OQ,Magic Software Enterprises Ltd,True,Asia
3718,6118.T,Aida Engineering Ltd,True,Asia
3719,8214.T,Aoki Holdings Inc,True,Asia
3720,3529.T,Atsugi Co Ltd,True,Asia
3721,7337.T,Hirogin Holdings Inc,True,Asia
3722,5844.T,Kyoto Financial Group Inc,True,Asia
3723,7350.T,Okinawa Financial Group Inc,True,Asia
3724,5930.T,Bunka Shutter Co Ltd,True,Asia
3725,7739.T,Canon Electronics Inc,True,Asia
3726,7751.T,Canon Inc,True,Asia
3727,8060.T,Canon Marketing Japan Inc,True,Asia
3728,ASUZU.IS,Anadolu Isuzu Otomotiv Sanayii ve Ticaret AS,True,Asia
3729,6952.T,Casio Computer Co Ltd,True,Asia
3730,4044.T,Central Glass Co Ltd,True,Asia
3731,9740.T,Central Security Patrols Co Ltd,True,Asia
3732,8217.T,Okuwa Co Ltd,True,Asia
3733,8331.T,Chiba Bank Ltd,True,Asia
3734,8337.T,Chiba Kogyo Bank Ltd,True,Asia
3735,8544.T,Keiyo Bank Ltd,True,Asia
3736,1938.T,Nippon Rietec Co Ltd,True,Asia
3737,6366.T,Chiyoda Corp,True,Asia
3738,8185.T,Chiyoda Co Ltd,True,Asia
3739,5946.T,Chofu Seisakusho Co Ltd,True,Asia
3740,8014.T,Chori Co Ltd,True,Asia
3741,9502.T,Chubu Electric Power Co Inc,True,Asia
3742,4519.T,Chugai Pharmaceutical Co Ltd,True,Asia
3743,5832.T,Chugin Financial Group Inc,True,Asia
3744,1941.T,Chudenko Corp,True,Asia
3745,9504.T,Chugoku Electric Power Co Inc,True,Asia
3746,4617.T,Chugoku Marine Paints Ltd,True,Asia
3747,5992.T,Chuo Spring Co Ltd,True,Asia
3748,7762.T,Citizen Watch Co Ltd,True,Asia
3749,8133.T,Itochu Enex Co Ltd,True,Asia
3750,6407.T,CKD Corp,True,Asia
3751,7955.T,Cleanup Corp,True,Asia
3752,6958.T,CMK Corp,True,Asia
3753,4202.T,Daicel Corp,True,Asia
3754,7245.T,Daido Metal Co Ltd,True,Asia
3755,5471.T,Daido Steel Co Ltd,True,Asia
