,Instrument,Date,Price Close,Rebased,Price Close_high,Rebased_high,Price Close_low,Rebased_low
0,.PSI,2017-03-31,7311.72,113.73541503660921,3731.282569051,99.99999999999999,3952.7953481909994,102.40577313451422
1,.PSI,2017-06-30,7843.16,122.00208128847001,3877.297729762,103.91326998180513,4184.269452202,108.40261397594908
2,.PSI,2017-09-29,8171.43,127.10839344129693,4075.479448186,109.22462645927514,4101.740713132,106.2645272333233
3,.PSI,2017-12-29,8558.42,133.12810812744704,4101.404863207999,109.91943888750122,4128.723924260001,106.96358609010916
4,.PSI,2018-03-28,7979.83,124.12801324060348,3725.365631319,99.84142348850558,3962.7132648889997,102.66271836893098
5,.PSI,2018-06-29,7193.68,111.89927683781039,3540.2963643219996,94.88148642739822,3430.5091616219997,88.87481187249163
6,.PSI,2018-09-28,7276.82,113.19253784973968,4219.309829207,113.07934339264268,3433.859071169,88.96159857579217
7,.PSI,2018-12-28,7466.02,116.1355855218232,3929.621118735,105.31555962362948,3419.3504588560004,88.58572137240961
8,.PSI,2019-03-29,7920.93,123.21181076763456,3130.350251987,83.89475184623075,4440.245441921999,115.03422953458042
9,.PSI,2019-06-28,7999.71,124.43725101925581,3406.9336844299996,91.30730844907589,4615.548186549,119.57582896353797
10,.PSI,2019-09-30,7779.07,121.00514722238209,2990.9358873599995,80.15838607797272,4338.416681863,112.3961337105851
11,.PSI,2019-12-27,7815.26,121.56809064337946,3085.022549719,82.67994965880143,4219.472114804999,109.31461562609861
12,.PSI,2020-03-31,5321.23,82.77290467294371,3446.027955389,92.3550519591297,2339.659164736,60.61396670730565
13,.PSI,2020-06-30,6207.72,96.56245187603734,4044.9673241039995,108.40688822805454,2646.362850731,68.5597937286558
14,.PSI,2020-09-30,5864.23,91.21938927094239,3893.7798168110003,104.35499710227867,2660.552952897,68.92741923292888
15,.PSI,2020-12-29,7139.71,111.05976160069439,4214.7385671130005,112.95683157507315,3050.948469168,79.04146540794169
16,.PSI,2021-03-31,6443.09,100.22368406725455,5383.874074952,144.29017302544617,1308.982131605,33.91203323177896
17,.PSI,2021-06-30,6901.91,107.36073022425961,5582.069232088,149.60188966625816,1446.980425464,37.48717961023801
18,.PSI,2021-09-30,6952.88,108.15357980061319,7124.6996076899995,190.94505644749572,1338.208201573,34.669198232017635
19,.PSI,2021-12-31,7122.63,110.79407843875366,7588.774271556,203.38245981424288,1391.8193689910004,36.058112295225264
20,.PSI,2022-03-31,7203.47,112.05156244409842,5245.739498282001,140.5881061325297,3154.053473587,81.71262512188876
21,.PSI,2022-06-30,6155.43,95.7490694089483,4529.526028078001,121.39327280244078,2830.5597449579996,73.33181547547476
22,.PSI,2022-09-30,5741.07,89.30360834444235,4148.880204573,111.19179873927936,2630.6291186119997,68.15217712824797
23,.PSI,2022-12-29,6566.39,102.14164272459016,4680.396673272,125.43667188578522,2504.2786000049996,64.8787917378765
24,.PSI,2023-03-31,6499.68,101.1039539814364,5817.738459024999,155.91792771954715,1157.1932655859998,29.97961204407425
25,.PSI,2023-06-30,6468.07,100.612253469203,5619.7457890099995,150.61163782187916,1162.173161848,30.108627103524068
26,.PSI,2023-09-29,6321.24,98.32828047928744,5508.806137998,147.63840679584578,1171.2455891380002,30.343668093254113
27,.PSI,2023-12-29,6450.04,100.33179284802083,5676.540629583,152.13376431650818,1204.8684447540002,31.21474140240542
