,Instrument,Company Common Name,ESG Coverage Flag,Region of Headquarters,TRBC Economic Sector Name
1451,HAWG.DE,Hawesko Holding SE,True,Europe,Technology
1452,ALSOG.PA,Sogeclair SA,True,Europe,Industrials
1453,ECVG.DE,Encavis AG,True,Europe,Utilities
1454,ISOS.PA,Ipsos SA,True,Europe,Consumer Cyclicals
1455,BRG.AX,Breville Group Ltd,True,Oceania,Consumer Cyclicals
1456,STMN.S,Straumann Holding AG,True,Europe,Healthcare
1457,OCDI.CA,Sixth of October Development and Investment Co SAE,True,Africa,Real Estate
1458,SAFETYb.ST,mySafety Group AB,True,Europe,Technology
1459,TPT.L,Topps Tiles PLC,True,Europe,Consumer Cyclicals
1460,DATA.L,GlobalData PLC,True,Europe,Industrials
1461,SBSG.DE,Stratec Se,True,Europe,Healthcare
1462,COKG.DE,Cancom SE,True,Europe,Technology
1463,BIOT.ST,Biotage AB,True,Europe,Healthcare
1464,EBRO.MC,Ebro Foods SA,True,Europe,Consumer Non-Cyclicals
1465,TSL.MI,Tessellis SpA,True,Europe,Technology
1466,AC5.MI,Acinque SpA,True,Europe,Utilities
1467,KUD.S,Kudelski SA,True,Europe,Technology
1468,AUBT.PA,Aubay SA,True,Europe,Technology
1469,FML.AX,Focus Minerals Ltd,True,Oceania,Basic Materials
1470,MOX.CS,Maghreb Oxygene SA,True,Africa,Basic Materials
1471,EIC.S,Eeii AG,True,Europe,Financials
1472,BANB.S,Bachem Holding AG,True,Europe,Healthcare
1473,HAPD.IC,Hampidjan hf,True,Europe,Consumer Cyclicals
1474,EMBLA.CO,Embla Medical hf,True,Europe,Healthcare
1475,BGBN.PA,Bigben Interactive SA,True,Europe,Consumer Cyclicals
1476,ALPRG.PA,Prologue SA,True,Europe,Technology
1477,MVVGn.DE,MVV Energie AG,True,Europe,Utilities
1478,HLS.AX,Healius Ltd,True,Oceania,Healthcare
1479,NAFG.DE,Aurubis AG,True,Europe,Basic Materials
1480,CURN.S,Curatis Holding AG,True,Europe,Healthcare
1481,SESFd.PA,SES SA,True,Europe,Technology
1482,ALHOP.PA,Hopscotch Groupe SA,True,Europe,Consumer Cyclicals
1483,PTNL.AS,PostNL NV,True,Europe,Industrials
1484,HINV.BR,Home Invest Belgium SA,True,Europe,Real Estate
1485,ANODb.ST,Addnode Group AB (publ),True,Europe,Technology
1486,MGR.AX,Mirvac Group,True,Oceania,Real Estate
1487,ECK.L,Eckoh PLC,True,Europe,Technology
1488,MDNG.DE,Medion AG,True,Europe,Technology
1489,BRE2.ST,Bredband2 i Skandinavien AB,True,Europe,Technology
1490,DEQGn.DE,Deutsche EuroShop AG,True,Europe,Real Estate
1491,MARL.IC,Marel hf,True,Europe,Industrials
1492,RAAG.DE,Rational AG,True,Europe,Consumer Cyclicals
1493,SISG.DE,First Sensor AG,True,Europe,Technology
1494,BRIMH.IC,Brim hf,True,Europe,Consumer Non-Cyclicals
1495,HEPr.AT,HELLENiQ ENERGY Holdings SA,True,Europe,Energy
1496,ABBN.S,Abb Ltd,True,Europe,Industrials
1497,IAG.AX,Insurance Australia Group Ltd,True,Oceania,Financials
1498,PREVb.ST,Prevas AB,True,Europe,Technology
1499,SASY.PA,Sanofi SA,True,Europe,Healthcare
1500,ACPP.WA,Asseco Poland SA,True,Europe,Technology
1501,5GN.AX,5G Networks Ltd,True,Oceania,Technology
1502,KSL.HE,Keskisuomalainen Oyj,True,Europe,Consumer Cyclicals
1503,ALITL.PA,IT Link SA,True,Europe,Technology
1504,IBAB.BR,Ion Beam Applications SA,True,Europe,Healthcare
1505,FINGb.ST,Fingerprint Cards AB,True,Europe,Technology
1506,DOCO.VI,DO & CO AG,True,Europe,Consumer Cyclicals
1507,PALF.VI,Palfinger AG,True,Europe,Industrials
1508,AIA.NZ,Auckland International Airport Ltd,True,Oceania,Industrials
1509,NFGN.L,Next 15 Group PLC,True,Europe,Consumer Cyclicals
1510,ACN.N,Accenture PLC,True,Europe,Technology
1511,ALMRB.PA,MR Bricolage SA,True,Europe,Consumer Cyclicals
1512,IOMG.L,iomart group PLC,True,Europe,Technology
1513,BCNT.MI,Basic Net SpA,True,Europe,Consumer Cyclicals
1514,ALSAS.PA,Stradim Espace Finance SA,True,Europe,Real Estate
1515,CPE.S,Castle Private Equity AG,True,Europe,Financials
1516,ALAUR.PA,Aures Technologies SA,True,Europe,Technology
1517,DE10k.H,Deufol SE,True,Europe,Industrials
1518,SURG.DE,Surteco Group SE,True,Europe,Consumer Cyclicals
1519,YTME.S,Youngtimers AG,True,Europe,Financials
1520,ISY.ST,Image Systems AB,True,Europe,Technology
1521,SCMN.S,Swisscom AG,True,Europe,Technology
1522,NXUG.DE,Nexus AG,True,Europe,Technology
1523,CURY.L,Currys PLC,True,Europe,Consumer Cyclicals
1524,AFXG.DE,Carl Zeiss Meditec AG,True,Europe,Healthcare
1525,RWS.L,RWS Holdings PLC,True,Europe,Industrials
1526,GMKN.MM,GMK Noril'skiy Nikel' PAO,True,Europe,Basic Materials
1527,OBEL.BR,Orange Belgium NV,True,Europe,Technology
1528,SNTS.CI,Societe Nationale des Telecommunications du Senegal SA,True,Africa,Technology
1529,BOL.ST,Boliden AB,True,Europe,Basic Materials
1530,BTSb.ST,BTS Group AB,True,Europe,Academic & Educational Services
1531,AQ.ST,AQ Group AB,True,Europe,Industrials
1532,AOFG.DE,ATOSS Software SE,True,Europe,Technology
1533,TGTG.DE,11 88 0 Solutions AG,True,Europe,Industrials
1534,MZXG.DE,Masterflex SE,True,Europe,Industrials
1535,AEVS.S,Aevis Victoria SA,True,Europe,Healthcare
1536,ELISA.HE,Elisa Oyj,True,Europe,Technology
1537,NEXTA.BR,Nextensa NV,True,Europe,Real Estate
1538,CAI.MI,Cairo Communication SpA,True,Europe,Consumer Cyclicals
1539,OBS.DE,Orbis Se,True,Europe,Technology
1540,ELGG.DE,Elmos Semiconductor SE,True,Europe,Technology
1541,LPER.PA,Laurent Perrier SA,True,Europe,Consumer Non-Cyclicals
1542,AIR.PA,Airbus SE,True,Europe,Industrials
1543,GEBN.S,Geberit AG,True,Europe,Consumer Cyclicals
1544,IQE.L,IQE PLC,True,Europe,Technology
1545,GMT.NZ,Goodman Property Trust,True,Oceania,Real Estate
1546,GAZ.CS,Afriquia Gaz SA,True,Africa,Utilities
1547,NEJ.CS,Auto-Nejma Maroc SA,True,Africa,Consumer Cyclicals
1548,ARLJ.J,Astral Foods Ltd,True,Africa,Consumer Non-Cyclicals
1549,RIG.N,Transocean Ltd,True,Europe,Energy
1550,UTG.L,Unite Group PLC,True,Europe,Real Estate
1551,CLLN.L,Carillion PLC,True,Europe,Industrials
1552,ALKEY.PA,Keyrus SA,True,Europe,Technology
1553,TPEG.DE,PVA TePla AG,True,Europe,Technology
1554,OCL.AX,Objective Corporation Ltd,True,Oceania,Technology
1555,PIONb.ST,PION Group AB,True,Europe,Industrials
1556,PAFR.L,Pan African Resources PLC,True,Europe,Basic Materials
1557,KTN.DE,Kontron AG,True,Europe,Technology
1558,COHE.PA,Coheris SA,True,Europe,Technology
1559,ESRS.CA,Ezz Steel Co SAE,True,Africa,Basic Materials
1560,WDPP.BR,Warehouses de Pauw NV,True,Europe,Real Estate
1561,VITb.ST,Vitec Software Group AB (publ),True,Europe,Technology
1562,ALMT.ST,ALM Equity AB,True,Europe,Real Estate
1563,ROG.S,Roche Holding AG,True,Europe,Healthcare
1564,TLVB.PA,Televerbier SA,True,Europe,Consumer Cyclicals
1565,VLAN.AS,Van Lanschot Kempen NV,True,Europe,Financials
1566,ELEN.MI,El En SpA,True,Europe,Healthcare
1567,EPH.S,EPH European Property Holdings Plc,True,Europe,Real Estate
1568,WEC.AX,White Energy Company Ltd,True,Oceania,Energy
1569,CARM.PA,Carmila SA,True,Europe,Real Estate
1570,ENEI.MI,Enel SpA,True,Europe,Utilities
1571,DIGIA.HE,Digia Oyj,True,Europe,Technology
1572,TWR.NZ,Tower Ltd,True,Oceania,Financials
1573,EZJ.L,Easyjet PLC,True,Europe,Industrials
1574,AUTr.AT,Autohellas SA,True,Europe,Consumer Cyclicals
1575,TEP.L,Telecom Plus PLC,True,Europe,Utilities
1576,VANTI.PA,Vantiva SA,True,Europe,Consumer Cyclicals
1577,VHP.NZ,Vital Healthcare Property Trust,True,Oceania,Real Estate
1578,BC8G.DE,Bechtle AG,True,Europe,Technology
1579,SOLTEQ.HE,Solteq Oyj,True,Europe,Technology
1580,AJX.AX,Alexium International Group Ltd,True,Oceania,Basic Materials
1581,CLE.AX,Cyclone Metals Ltd,True,Oceania,Basic Materials
1582,HSN.AX,Hansen Technologies Ltd,True,Oceania,Technology
1583,BINV.ST,BioInvent International AB,True,Europe,Healthcare
1584,SURJ.J,Spur Corporation Ltd,True,Africa,Consumer Cyclicals
1585,DOM.L,Domino's Pizza Group PLC,True,Europe,Consumer Cyclicals
1586,MSABb.ST,Micro Systemation AB (publ),True,Europe,Technology
1587,REA.AX,REA Group Ltd,True,Oceania,Technology
1588,PKN.WA,Orlen SA,True,Europe,Energy
1589,GDSF.PA,Ramsay Generale de Sante SA,True,Europe,Healthcare
1590,TGHN.DE,Logwin AG SA,True,Europe,Industrials
1591,NDAFI.HE,Nordea Bank Abp,True,Europe,Financials
1592,PREC.ST,Precise Biometrics AB,True,Europe,Technology
1593,ROBRD.BX,BRD Groupe Societe Generale SA,True,Europe,Financials
1594,SRV.AX,Servcorp Ltd,True,Oceania,Real Estate
1595,LPPP.WA,LPP SA,True,Europe,Consumer Cyclicals
1596,SABE.MC,Banco de Sabadell SA,True,Europe,Financials
1597,IFXGn.DE,Infineon Technologies AG,True,Europe,Technology
1598,THW.ASE,Daniel Thwaites PLC,True,Europe,Consumer Non-Cyclicals
1599,WATRI.L,Water Intelligence PLC,True,Europe,Industrials
1600,ACSO.L,accesso Technology Group PLC,True,Europe,Technology
1601,SHEP.ASE,Shepherd Neame Ltd,True,Europe,Consumer Cyclicals
1602,MSGL.H,Msg Life ag,True,Europe,Technology
1603,STZEb.ST,Starbreeze AB,True,Europe,Technology
1604,WYWYN.L,Wynnstay Group PLC,True,Europe,Consumer Non-Cyclicals
1605,BWZ.MI,Beewize SpA,True,Europe,Consumer Cyclicals
1606,IREE.MI,Iren SpA,True,Europe,Utilities
1607,EVDG.DE,CTS Eventim AG & Co KgaA,True,Europe,Technology
1608,LSEG.L,London Stock Exchange Group PLC,True,Europe,Financials
1609,WAVE.PA,Wavestone SA,True,Europe,Technology
1610,CPHN.S,CPH Group AG,True,Europe,Basic Materials
1611,OBL.AX,Omni Bridgeway Ltd,True,Oceania,Financials
1612,KOF.PA,Kaufman & Broad SA,True,Europe,Consumer Cyclicals
1613,EYDr.AT,Athens Water Supply and Sewerage Company SA,True,Europe,Utilities
1614,SGKN.S,St Galler Kantonalbank AG,True,Europe,Financials
1615,TLY.L,Totally PLC,True,Europe,Healthcare
1616,SQN.S,Swissquote Group Holding SA,True,Europe,Financials
1617,HNLG.DE,Dr Hoenle AG,True,Europe,Industrials
1618,GMAB.CO,Genmab A/S,True,Europe,Healthcare
1619,DHLn.DE,Deutsche Post AG,True,Europe,Industrials
1620,ALDUX.PA,Adux SA,True,Europe,Consumer Cyclicals
1621,MLLG.DE,Mueller Die lila Logistik SE,True,Europe,Industrials
1622,RDFJ.J,Redefine Properties Ltd,True,Africa,Real Estate
1623,BYG.L,Big Yellow Group PLC,True,Europe,Real Estate
1624,ZOO.L,Zoo Digital Group PLC,True,Europe,Technology
1625,EBQ.L,Ebiquity PLC,True,Europe,Consumer Cyclicals
1626,SGG.ST,Sensys Gatso Group AB,True,Europe,Technology
1627,ALLN.S,Allreal Holding AG,True,Europe,Real Estate
1628,PSPN.S,PSP Swiss Property AG,True,Europe,Real Estate
1629,SHFG.DE,SNP Schneider Neureither & Partner SE,True,Europe,Technology
1630,MSAG.DE,MS Industrie AG,True,Europe,Consumer Cyclicals
1631,QBYn.DE,QBeyond AG,True,Europe,Technology
1632,SPSN.S,Swiss Prime Site AG,True,Europe,Real Estate
1633,AEIGn.DE,Allgeier SE,True,Europe,Technology
1634,MEKO.ST,Meko AB,True,Europe,Consumer Cyclicals
1635,GTHE.CA,Global Telecom Holding SAE,True,Africa,Technology
1636,SWEGn.DE,Schweizer Electronic AG,True,Europe,Technology
1637,CGF.AX,Challenger Ltd,True,Oceania,Financials
1638,GIVN.S,Givaudan SA,True,Europe,Basic Materials
1639,SFPI.PA,Groupe SFPI SA,True,Europe,Consumer Cyclicals
1640,GLJn.DE,Grenke AG,True,Europe,Financials
1641,REMJ.J,Remgro Ltd,True,Africa,Financials
1642,ETTE.HE,Etteplan Oyj,True,Europe,Industrials
1643,G2MNO.OL,Gentoo Media Inc,True,Europe,Consumer Cyclicals
1644,LSG.OL,Leroy Seafood Group ASA,True,Europe,Consumer Non-Cyclicals
1645,IDOX.L,Idox PLC,True,Europe,Technology
1646,CCP.AX,Credit Corp Group Ltd,True,Oceania,Financials
1647,EOS.AX,Electro Optic Systems Holdings Ltd,True,Oceania,Industrials
1648,CCL.L,Carnival PLC,True,Europe,Consumer Cyclicals
1649,WDIG.H,Wirecard AG,True,Europe,Industrials
1650,NSISb.CO,Novozymes A/S,True,Europe,Basic Materials
1651,IRE.AX,Iress Ltd,True,Oceania,Technology
1652,ANDR.VI,Andritz AG,True,Europe,Industrials
1653,SPL.AX,Starpharma Holdings Ltd,True,Oceania,Healthcare
1654,TXGN.S,TX Group AG,True,Europe,Consumer Cyclicals
1655,TCAPI.L,TP ICAP Group PLC,True,Europe,Financials
1656,BVB.DE,Borussia Dortmund GmbH & Co KGaA,True,Europe,Consumer Cyclicals
1657,PGNG.DE,Paragon GmbH & Co KGaA,True,Europe,Consumer Cyclicals
1658,DB1Gn.DE,Deutsche Boerse AG,True,Europe,Financials
1659,EQNR.OL,Equinor ASA,True,Europe,Energy
1660,BSS.MI,Biesse SpA,True,Europe,Industrials
1661,DLG.MI,De' Longhi SpA,True,Europe,Consumer Cyclicals
1662,TELA.VI,Telekom Austria AG,True,Europe,Technology
1663,GRMN.N,Garmin Ltd,True,Europe,Technology
1664,FEWG.F,Funkwerk AG,True,Europe,Technology
1665,PGH.L,Personal Group Holdings PLC,True,Europe,Financials
1666,MEDG.DE,Mediclin AG,True,Europe,Healthcare
1667,TEL.OL,Telenor ASA,True,Europe,Technology
1668,ITX.MC,Industria de Diseno Textil SA,True,Europe,Consumer Cyclicals
1669,NEOBO.ST,Neobo Fastigheter AB (publ),True,Europe,Real Estate
1670,TRBG.L,Tribal Group PLC,True,Europe,Academic & Educational Services
1671,PAGE.L,Pagegroup PLC,True,Europe,Industrials
1672,UMR.CS,Unimer (Ste) SA,True,Africa,Consumer Non-Cyclicals
1673,OHBG.DE,OHB SE,True,Europe,Industrials
1674,NBEN.S,Nebag ag,True,Europe,Financials
1675,SVIK.ST,Studsvik AB,True,Europe,Industrials
1676,GLA1V.HE,Glaston Oyj Abp,True,Europe,Industrials
1677,OPAr.AT,Greek Organisation of Football Prognostics SA,True,Europe,Consumer Cyclicals
1678,NEXS.PA,Nexans SA,True,Europe,Industrials
1679,FRAG.DE,Fraport Frankfurt Airport Services Worldwide AG,True,Europe,Industrials
1680,WTW.OQ,Willis Towers Watson PLC,True,Europe,Financials
1681,PPET.L,Patria Private Equity Trust PLC,True,Europe,Financials
1682,MCHN.S,MCH Group AG,True,Europe,Industrials
1683,MORr.AT,Motor Oil Hellas Corinth Refineries SA,True,Europe,Energy
1684,PRT.MI,Esprinet SpA,True,Europe,Technology
1685,JCDX.PA,JCDecaux SE,True,Europe,Consumer Cyclicals
1686,IXXG.DE,init innovation in traffic systems SE,True,Europe,Technology
1687,LUKN.S,Luzerner Kantonalbank AG,True,Europe,Financials
1688,SBM.CS,Societe des Boissons du Maroc SA,True,Africa,Consumer Non-Cyclicals
1689,KOA.OL,Kongsberg Automotive ASA,True,Europe,Consumer Cyclicals
1690,DEHr.AT,Public Power Corporation SA,True,Europe,Utilities
1691,TRS.AX,Reject Shop Ltd,True,Oceania,Consumer Cyclicals
1692,AKRN.MM,Akron PAO,True,Europe,Basic Materials
1693,BUCN.S,Bucher Industries AG,True,Europe,Industrials
1694,ALCLA.PA,Clasquin SA,True,Europe,Industrials
1695,LKE.AX,Lake Resources NL,True,Oceania,Basic Materials
1696,ROSNP.BX,OMV Petrom SA,True,Europe,Energy
1697,ADDTb.ST,Addtech AB,True,Europe,Industrials
1698,LAGRb.ST,Lagercrantz Group AB,True,Europe,Consumer Non-Cyclicals
1699,ORRON.ST,Orron Energy AB,True,Europe,Utilities
1700,ALEUP.PA,Europlasma SA,True,Europe,Industrials
1701,ASOS.L,ASOS PLC,True,Europe,Consumer Cyclicals
1702,SUY1V.HE,Suominen Oyj,True,Europe,Consumer Cyclicals
1703,BILL.ST,Billerud AB (publ),True,Europe,Basic Materials
1704,CAGR.PA,Credit Agricole SA,True,Europe,Financials
1705,EXXJ.J,Exxaro Resources Ltd,True,Africa,Energy
1706,SRG.MI,Snam SpA,True,Europe,Energy
1707,ALAPH.L,Alliance Pharma PLC,True,Europe,Healthcare
1708,JUVE.MI,Juventus FC SpA,True,Europe,Consumer Cyclicals
1709,INCr.AT,Intrakat Technical and Energy Projects SA,True,Europe,Industrials
1710,TRNF_p.MM,Transneft' PAO,True,Europe,Energy
1711,AGES.BR,Ageas SA,True,Europe,Financials
1712,AGI.AX,Ainsworth Game Technology Ltd,True,Oceania,Consumer Cyclicals
1713,IGO.AX,IGO Ltd,True,Oceania,Basic Materials
1714,CDR.WA,CD Projekt SA,True,Europe,Technology
1715,XIL.PA,Xilam Animation SA,True,Europe,Consumer Cyclicals
1716,AGY.AX,Argosy Minerals Ltd,True,Oceania,Basic Materials
1717,CPIJ.J,Capitec Bank Holdings Ltd,True,Africa,Financials
1718,RHK.AX,Red Hawk Mining Ltd,True,Oceania,Basic Materials
1719,IEM.L,Impax Environmental Markets PLC,True,Europe,Financials
1720,AEL.AX,Amplitude Energy Ltd,True,Oceania,Energy
1721,BANE.MM,ANK Bashneft' PAO,True,Europe,Energy
1722,CNI.AX,Centuria Capital Group,True,Oceania,Financials
1723,FDPF.L,FD Technologies PLC,True,Europe,Technology
1724,EMEIS.PA,Emeis SA,True,Europe,Healthcare
1725,SUDATEL.AD,Sudatel Telecom Group Limited,True,Africa,Technology
1726,ALFA.ST,Alfa Laval AB,True,Europe,Industrials
1727,ITRK.L,Intertek Group PLC,True,Europe,Industrials
1728,BAMI.MI,Banco BPM SpA,True,Europe,Financials
1729,WG.L,John Wood Group PLC,True,Europe,Energy
1730,EKF.L,EKF Diagnostics Holdings PLC,True,Europe,Healthcare
1731,BSL.AX,BlueScope Steel Ltd,True,Oceania,Basic Materials
1732,INTRUM.ST,Intrum AB,True,Europe,Financials
1733,NOBI.ST,Nobia AB,True,Europe,Consumer Cyclicals
1734,SKL.NZ,Skellerup Holdings Ltd,True,Oceania,Industrials
1735,ENAG.MC,Enagas SA,True,Europe,Energy
1736,DEG.AX,De Grey Mining Ltd,True,Oceania,Basic Materials
1737,ALDAR.PA,Damartex SA,True,Europe,Consumer Cyclicals
1738,NMT.AX,Neometals Ltd,True,Oceania,Basic Materials
1739,BRBY.L,Burberry Group PLC,True,Europe,Consumer Cyclicals
1740,INVP.L,Investec PLC,True,Europe,Financials
1741,JLP.L,Jubilee Metals Group PLC,True,Europe,Basic Materials
1742,PET.AX,Phoslock Environmental Technologies Ltd,True,Oceania,Industrials
1743,EVN.AX,Evolution Mining Ltd,True,Oceania,Basic Materials
1744,RNE.AX,Renu Energy Ltd,True,Oceania,Utilities
1745,SLHN.S,Swiss Life Holding AG,True,Europe,Financials
1746,ENWE.L,Enwell Energy PLC,True,Europe,Energy
1747,KURN.S,Kuros Biosciences AG,True,Europe,Healthcare
1748,SIG.AX,Sigma Healthcare Ltd,True,Oceania,Healthcare
1749,BEZG.L,Beazley PLC,True,Europe,Financials
1750,TENR.MI,Tenaris SA,True,Europe,Energy
1751,ABG.AX,Abacus Group,True,Oceania,Real Estate
1752,WOR.AX,Worley Ltd,True,Oceania,Industrials
1753,EDNn.MI,Edison SpA,True,Europe,Utilities
1754,ARG.NZ,Argosy Property Ltd,True,Oceania,Real Estate
1755,BCVN.S,Banque Cantonale Vaudoise,True,Europe,Financials
1756,RESJ.J,Resilient Reit Ltd,True,Africa,Real Estate
1757,PHHGn.F,Paul Hartmann AG,True,Europe,Healthcare
1758,FIMI.MI,Fiera Milano SpA,True,Europe,Industrials
1759,ANCR.L,Animalcare Group plc,True,Europe,Healthcare
1760,AEF.AX,Australian Ethical Investment Ltd,True,Oceania,Financials
1761,PEB.NZ,Pacific Edge Ltd,True,Oceania,Healthcare
1762,JDG.L,Judges Scientific PLC,True,Europe,Industrials
1763,BKY.AX,Berkeley Energia Ltd,True,Oceania,Basic Materials
1764,RMS.AX,Ramelius Resources Ltd,True,Oceania,Basic Materials
1765,TKGJ.J,Telkom SA SOC Ltd,True,Africa,Technology
1766,MAB.L,Mitchells & Butlers PLC,True,Europe,Consumer Cyclicals
1767,IHG.L,InterContinental Hotels Group PLC,True,Europe,Consumer Cyclicals
1768,BRNKn.DE,Branicks Group AG,True,Europe,Real Estate
1769,REJLb.ST,Rejlers AB (publ),True,Europe,Industrials
1770,CQE.AX,Charter Hall Social Infrastructure REIT,True,Oceania,Real Estate
1771,NZX.NZ,NZX Ltd,True,Oceania,Financials
1772,CMLJ.J,Coronation Fund Managers Ltd,True,Africa,Financials
1773,EXMR.BR,Exmar NV,True,Europe,Energy
1774,HRA.MI,Hera SpA,True,Europe,Utilities
1775,IPL.AX,Incitec Pivot Ltd,True,Oceania,Basic Materials
1776,OLPr.AT,Piraeus Port Authority SA,True,Europe,Industrials
1777,JHX.AX,James Hardie Industries PLC,True,Europe,Basic Materials
1778,NHC.AX,New Hope Corporation Ltd,True,Oceania,Energy
1779,FRW.NZ,Freightways Group Ltd,True,Oceania,Industrials
1780,VOF.L,VinaCapital Vietnam Opportunity Fund Ltd,True,Europe,Financials
1781,MTSS.MM,Mobil'nye Telesistemy PAO,True,Europe,Technology
1782,IPO.L,IP Group PLC,True,Europe,Financials
1783,DNK.AX,Danakali Ltd,True,Oceania,Basic Materials
1784,A3M.MC,Atresmedia Corporacion de Medios de Comunicacion SA,True,Europe,Consumer Cyclicals
1785,JBH.AX,JB Hi-Fi Ltd,True,Oceania,Consumer Cyclicals
1786,ARU.AX,Arafura Rare Earths Ltd,True,Oceania,Basic Materials
1787,SNT.AX,Syntara Ltd,True,Oceania,Healthcare
1788,CVT.NZ,Comvita Ltd,True,Oceania,Consumer Non-Cyclicals
1789,NLMK.MM,Novolipetsk Steel PAO,True,Europe,Basic Materials
1790,CDA.AX,Codan Ltd,True,Oceania,Technology
1791,IFL.AX,Insignia Financial Ltd,True,Oceania,Financials
1792,EMIJ.J,Emira Property Fund Ltd,True,Africa,Real Estate
1793,MVP.AX,Medical Developments International Ltd,True,Oceania,Healthcare
1794,NST.AX,Northern Star Resources Ltd,True,Oceania,Basic Materials
1795,NAS.OL,Norwegian Air Shuttle ASA,True,Europe,Industrials
1796,APIA.L,abrdn Property Income Trust Ltd,True,Europe,Real Estate
1797,X64.AX,Ten Sixty Four Ltd,True,Oceania,Basic Materials
1798,JHG.N,Janus Henderson Group PLC,True,Europe,Financials
1799,MTLR.MM,Mechel PAO,True,Europe,Basic Materials
1800,MAGN.MM,Magnitogorskiy Metallurgicheskiy Kombinat PAO,True,Europe,Basic Materials
1801,SFR.AX,Sandfire Resources Ltd,True,Oceania,Basic Materials
1802,ANG.AX,Austin Engineering Ltd,True,Oceania,Industrials
1803,SOSIL.NGM,Sotkamo Silver AB,True,Europe,Basic Materials
1804,SILEON.ST,Sileon AB (publ),True,Europe,Technology
1805,SYA.AX,Sayona Mining Ltd,True,Oceania,Basic Materials
1806,MMS.AX,McMillan Shakespeare Ltd,True,Oceania,Financials
1807,PROX.BR,Proximus NV,True,Europe,Technology
1808,CAU.L,Centaur Media PLC,True,Europe,Consumer Cyclicals
1809,OTEC.OL,Otello Corporation ASA,True,Europe,Consumer Cyclicals
1810,BSLN.S,Basilea Pharmaceutica AG Allschwil,True,Europe,Healthcare
1811,YAR.OL,Yara International ASA,True,Europe,Basic Materials
1812,AKAST.OL,Akastor ASA,True,Europe,Energy
1813,TETY.ST,Tethys Oil AB,True,Europe,Energy
1814,ATM.NZ,A2 Milk Company Ltd,True,Oceania,Consumer Non-Cyclicals
1815,GTCP.WA,Globe Trade Centre SA,True,Europe,Real Estate
1816,AMS.S,ams-OSRAM AG,True,Europe,Technology
1817,GCC.L,C&C Group PLC,True,Europe,Consumer Non-Cyclicals
1818,CDD.AX,Cardno Ltd,True,Oceania,Industrials
1819,CSN.L,Chesnara PLC,True,Europe,Financials
1820,NCK.AX,Nick Scali Ltd,True,Oceania,Consumer Cyclicals
1821,MBH.L,Michelmersh Brick Holdings PLC,True,Europe,Basic Materials
1822,MFG.AX,Magellan Financial Group Ltd,True,Oceania,Financials
1823,KAR.AX,Karoon Energy Ltd,True,Oceania,Energy
1824,ITAB.ST,ITAB Shop Concept AB,True,Europe,Industrials
1825,HFD.L,Halfords Group PLC,True,Europe,Consumer Cyclicals
1826,TRN.MI,Terna Rete Elettrica Nazionale SpA,True,Europe,Utilities
1827,IVSO.ST,Invisio AB,True,Europe,Industrials
1828,AFRNA.L,Aferian PLC,True,Europe,Technology
1829,ITM.L,ITM Power PLC,True,Europe,Utilities
1830,VKEJ.J,Vukile Property Fund Ltd,True,Africa,Real Estate
1831,BIOX.PA,Biomerieux SA,True,Europe,Healthcare
1832,NOTE.ST,Note AB (publ),True,Europe,Technology
1833,MEDCAP.ST,MedCap AB (publ),True,Europe,Financials
1834,LOCAL.PA,Solocal Group SA,True,Europe,Technology
1835,AZMT.MI,Azimut Holding SpA,True,Europe,Financials
1836,INA.AX,Ingenia Communities Group,True,Oceania,Real Estate
1837,AX1.AX,Accent Group Ltd,True,Oceania,Consumer Cyclicals
1838,SUL.AX,Super Retail Group Ltd,True,Oceania,Consumer Cyclicals
1839,RICA_p.L,Ruffer Investment Company Ltd,True,Europe,Financials
1840,SAA.L,M&C Saatchi PLC,True,Europe,Consumer Cyclicals
1841,NCCG.L,NCC Group PLC,True,Europe,Technology
1842,BCP.CS,Centrale Populaire Banque SA,True,Africa,Financials
1843,GRLS.MC,Grifols SA,True,Europe,Healthcare
1844,MEI.AX,Meteoric Resources NL,True,Oceania,Basic Materials
1845,PGRm.BA,Phoenix Global Resources Ltd,True,Europe,Energy
1846,SREI.L,Schroder Real Estate Investment Trust Ltd,True,Europe,Real Estate
1847,PFD.L,Premier Foods PLC,True,Europe,Consumer Non-Cyclicals
1848,WC8.AX,Wildcat Resources Ltd,True,Oceania,Basic Materials
1849,ACT1.DE,Alzchem Group AG,True,Europe,Basic Materials
1850,PBGG.WA,PBG SA w restrukturyzacji w likwidacji,True,Europe,Industrials
1851,NANON.L,Nanoco Group PLC,True,Europe,Technology
1852,STX.AX,Strike Energy Ltd,True,Oceania,Energy
1853,DFCU.UG,dfcu Ltd,True,Africa,Financials
1854,COTE.BX,Conpet SA,True,Europe,Energy
1855,MLX.AX,Metals X Ltd,True,Oceania,Basic Materials
1856,PRU.AX,Perseus Mining Ltd,True,Oceania,Basic Materials
1857,OSPGk.H,USU Software AG,True,Europe,Technology
1858,GOODG.L,Good Energy Group PLC,True,Europe,Utilities
1859,ACR.AX,Acrux Ltd,True,Oceania,Healthcare
1860,AKER.OL,Aker ASA,True,Europe,Energy
1861,YPSN.S,Ypsomed Holding AG,True,Europe,Healthcare
1862,LEWJ.J,Lewis Group Ltd,True,Africa,Consumer Cyclicals
1863,PAYP.L,PayPoint plc,True,Europe,Industrials
1864,ADML.L,Admiral Group PLC,True,Europe,Financials
